scenario,partition_id,partition,weighted_layers,safe_lambda,unsafe_lambda,right_censored,sampled_monotonic,first_violation,peak_decode_at_first_unsafe
homogeneous_control,uniform,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_00,8-12-8-9-10-9-13-11,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_01,9-14-9-8-9-10-12-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_02,10-8-13-7-14-13-9-6,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_03,12-12-11-7-8-10-11-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_04,10-9-12-7-14-6-11-11,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_05,10-5-14-10-7-10-12-12,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_06,8-13-10-11-12-10-6-10,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_07,10-9-9-9-15-13-8-7,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_08,12-10-8-15-9-10-5-11,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_09,10-9-9-11-12-11-9-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_10,14-10-5-10-7-14-10-10,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_11,10-8-11-11-9-14-8-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_12,13-11-9-12-8-10-8-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_13,14-11-13-11-8-8-6-9,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_14,12-10-11-9-10-11-10-7,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_15,12-6-11-11-9-9-10-12,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_16,7-10-12-13-10-10-8-10,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_17,7-15-8-10-10-10-8-12,80.0,0.009,0.0095,False,True,network,6
homogeneous_control,random_18,6-13-6-10-11-12-7-15,80.0,0.009,0.0095,False,True,network,6
mild_alternating,uniform,10-10-10-10-10-10-10-10,81.841432,0.009,0.0095,False,True,network,6
mild_alternating,compute_balanced,12-9-12-9-11-8-11-8,80.0,0.009,0.0095,False,True,network,6
mild_alternating,random_00,8-12-8-9-10-9-13-11,82.148338,0.0085,0.009,False,True,network,6
mild_alternating,random_01,9-14-9-8-9-10-12-9,82.148338,0.0085,0.009,False,True,network,6
mild_alternating,random_02,10-8-13-7-14-13-9-6,80.0,0.009,0.0095,False,True,network,6
mild_alternating,random_03,12-12-11-7-8-10-11-9,81.227621,0.009,0.0095,False,True,network,6
mild_alternating,random_04,10-9-12-7-14-6-11-11,79.693095,0.009,0.0095,False,True,network,6
mild_alternating,random_05,10-5-14-10-7-10-12-12,80.920716,0.009,0.0095,False,True,network,6
mild_alternating,random_06,8-13-10-11-12-10-6-10,83.069054,0.0085,0.009,False,True,network,6
mild_alternating,random_07,10-9-9-9-15-13-8-7,81.227621,0.009,0.0095,False,True,network,6
mild_alternating,random_08,12-10-8-15-9-10-5-11,83.682864,0.0085,0.009,False,True,network,6
mild_alternating,random_09,10-9-9-11-12-11-9-9,81.841432,0.009,0.0095,False,True,network,6
