scenario,partition_id,partition,lambda,safe,first_violation,event_count,peak_prefill,peak_decode,minimum_link_headroom_mb_s,peak_memory_gb
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.006,True,,204,1,4,584.631518,24.773
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0065,True,,204,1,5,358.41104,25.0322
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.007,True,,204,1,5,358.516848,25.0274
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0075,True,,204,1,6,119.685981,25.6667
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.008,True,,204,1,6,119.797075,25.6619
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0085,True,,204,1,6,120.032956,25.6523
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.009,True,,204,1,6,119.830963,25.6619
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0095,False,network,166,1,6,-134.718641,25.6571
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.01,False,network,116,1,6,-104.795979,24.7385
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0105,False,network,116,1,6,-104.795979,24.7289
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.011,False,network,104,1,6,-112.032912,24.8201
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0115,False,network,102,1,6,-111.79799,24.8201
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.012,False,network,101,1,6,-111.677362,24.8201
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0125,False,network,74,1,6,-107.115817,24.8153
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.013,False,network,74,1,6,-107.115817,24.8153
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0135,False,network,73,1,6,-106.992345,24.8153
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.014,False,network,73,1,6,-106.992345,24.8153
homogeneous_control,uniform,10-10-10-10-10-10-10-10,0.0145,False,network,71,1,6,-106.760412,24.9017
