seed,regime,method,shift,partition,safe_lambda,unsafe_lambda,sampled_monotonic,first_violation,reference_lambda,oracle_safe_lambda,oracle_shifts
0,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network,0.00115,0.00175,-2
0,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network,0.00115,0.00175,-2
0,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
0,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network,0.00115,0.00175,-2
0,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
0,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0082,0.0083,True,network,0.0083,0.0086,2
0,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.0086,0.0087,True,network,0.0083,0.0086,2
0,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.0071,0.0072,True,network,0.0083,0.0086,2
0,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0069,0.007,True,network,0.0083,0.0086,2
0,prefill_constrained,sla_stress_search,-1,9-11-9-11-9-11-9-11,0.0069,0.007,True,network,0.0083,0.0086,2
1,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network,0.00115,0.0018,-2
1,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network,0.00115,0.0018,-2
1,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.0018,0.00185,True,network,0.00115,0.0018,-2
1,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.00175,0.0018,True,network,0.00115,0.0018,-2
1,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.0018,0.00185,True,network,0.00115,0.0018,-2
1,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0095,0.0096,True,network,0.0096,0.012,2
1,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.012,,True,,0.0096,0.012,2
1,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.0082,0.0083,True,network,0.0096,0.012,2
1,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.008,0.0081,True,network,0.0096,0.012,2
1,prefill_constrained,sla_stress_search,2,12-8-12-8-12-8-12-8,0.012,,True,,0.0096,0.012,2
2,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network,0.00115,0.00175,-2
2,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network,0.00115,0.00175,-2
2,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
2,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network,0.00115,0.00175,-2
2,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
