seed,regime,method,shift,partition,safe_intensity,unsafe_intensity,first_violation,sampled_monotonic,oracle_safe_intensity,oracle_shifts
0,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.082031,0.085938,network,True,0.085938,"-2,-1"
0,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.054688,0.058594,network,True,0.085938,"-2,-1"
0,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.085938,0.089844,network,True,0.085938,"-2,-1"
0,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.085938,0.089844,network,True,0.085938,"-2,-1"
0,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.085938,0.089844,network,True,0.085938,"-2,-1"
0,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,16.0,,,True,16.0,"-2,-1,0,1,2"
0,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,16.0,,,True,16.0,"-2,-1,0,1,2"
0,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
0,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,16.0,,,True,16.0,"-2,-1,0,1,2"
0,prefill_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
1,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.101562,0.105469,network,True,0.105469,"-2,-1"
1,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.058594,0.0625,network,True,0.105469,"-2,-1"
1,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.105469,0.109375,network,True,0.105469,"-2,-1"
1,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.105469,0.109375,network,True,0.105469,"-2,-1"
1,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.105469,0.109375,network,True,0.105469,"-2,-1"
1,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,16.0,,,True,16.0,"-2,-1,0,1,2"
1,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,16.0,,,True,16.0,"-2,-1,0,1,2"
1,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
1,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,16.0,,,True,16.0,"-2,-1,0,1,2"
