seed,regime,method,shift,partition,safe_intensity,unsafe_intensity,first_violation,sampled_monotonic,capacity_evaluations,oracle_safe_intensity,oracle_shifts
0,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.023438,0.027344,network,True,8,0.027344,-2
0,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.011719,0.015625,network,True,8,0.027344,-2
0,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.027344,0.03125,network,True,8,0.027344,-2
0,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.023438,0.027344,network,True,8,0.027344,-2
0,decode_constrained,sla_evaluator_guided_local_search,-2,8-12-8-12-8-12-8-12,0.027344,0.03125,network,True,8,0.027344,-2
0,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.523438,0.527344,network,True,9,0.539062,-2
0,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.507812,0.511719,network,True,9,0.539062,-2
0,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.539062,0.542969,network,True,9,0.539062,-2
0,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.535156,0.539062,network,True,9,0.539062,-2
0,prefill_constrained,sla_evaluator_guided_local_search,-2,8-12-8-12-8-12-8-12,0.539062,0.542969,network,True,9,0.539062,-2
1,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.023438,0.027344,network,True,8,0.023438,"-2,-1,0"
1,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.011719,0.015625,network,True,8,0.023438,"-2,-1,0"
1,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.023438,0.027344,network,True,8,0.023438,"-2,-1,0"
1,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.023438,0.027344,network,True,8,0.023438,"-2,-1,0"
1,decode_constrained,sla_evaluator_guided_local_search,0,10-10-10-10-10-10-10-10,0.023438,0.027344,network,True,8,0.023438,"-2,-1,0"
1,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.648438,0.652344,network,True,9,0.667969,-2
1,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.648438,0.652344,network,True,9,0.667969,-2
1,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.667969,0.671875,network,True,9,0.667969,-2
1,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.660156,0.664062,network,True,9,0.667969,-2
1,prefill_constrained,sla_evaluator_guided_local_search,-2,8-12-8-12-8-12-8-12,0.667969,0.671875,network,True,9,0.667969,-2
2,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.027344,0.03125,network,True,8,0.027344,"-2,-1,0"
2,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.015625,0.019531,network,True,8,0.027344,"-2,-1,0"
2,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.027344,0.03125,network,True,8,0.027344,"-2,-1,0"
2,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.027344,0.03125,network,True,8,0.027344,"-2,-1,0"
2,decode_constrained,sla_evaluator_guided_local_search,0,10-10-10-10-10-10-10-10,0.027344,0.03125,network,True,8,0.027344,"-2,-1,0"
2,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.390625,0.394531,network,True,8,0.398438,1
2,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.386719,0.390625,network,True,8,0.398438,1
2,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.257812,0.261719,network,True,8,0.398438,1
2,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.316406,0.320312,network,True,8,0.398438,1
2,prefill_constrained,sla_evaluator_guided_local_search,1,11-9-11-9-11-9-11-9,0.398438,0.402344,network,True,8,0.398438,1
3,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.027344,0.03125,network,True,8,0.03125,"-2,-1"
3,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.019531,0.023438,network,True,8,0.03125,"-2,-1"
3,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.03125,0.035156,network,True,8,0.03125,"-2,-1"
