condition,seed,regime,request_count,bandwidth_multiplier,link_capacity_mb_s,candidate_count,candidate_radius,proposed_shift,proposed_partition,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,gain_over_joint_compute_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,candidate_probe_count,probe_order,method_evaluator_calls,method_runtime_s,all_sampled_monotonic,no_right_censoring
bandwidth_0.5x,0,decode_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,0.0,True,True,True,True,4,"-1,0,1,-2",32,0.399028,True,True
bandwidth_0.5x,0,prefill_constrained,133,0.5,625.0,9,4,1,11-9-11-9-11-9-11-9,0.195312,0.183594,-2,0.132812,0.277344,3,0.704223,29.577709,6.382562,47.059001,False,False,True,True,4,"-1,0,1,2",32,3.31072,True,True
bandwidth_0.5x,1,decode_constrained,133,0.5,625.0,9,4,-1,9-11-9-11-9-11-9-11,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,0.0,True,True,True,True,4,"-1,0,1,-2",32,0.46796,True,True
bandwidth_0.5x,1,prefill_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.304688,0.304688,-2,0.296875,0.328125,3,0.928573,7.142705,0.0,2.631747,False,False,True,True,3,"-1,0,1",24,2.748442,True,True
bandwidth_0.5x,2,decode_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.015625,0.015625,-2,0.015625,0.019531,"-4,-3",0.80001,19.998976,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.447011,True,True
bandwidth_0.5x,2,prefill_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.117188,0.117188,-2,0.078125,0.148438,4,0.789474,21.052561,0.0,50.00064,False,False,True,True,3,"-1,0,1",24,1.267505,True,True
bandwidth_0.5x,3,decode_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.019531,0.019531,-2,0.019531,0.019531,"-4,-3,-2,-1,0",1.0,0.0,0.0,0.0,True,True,True,True,4,"-1,0,1,-2",32,0.577579,True,True
bandwidth_0.5x,3,prefill_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.253906,0.253906,-2,0.207031,0.253906,0,1.0,0.0,0.0,22.641537,True,True,True,True,3,"-1,0,1",24,3.718868,True,True
bandwidth_0.5x,7,decode_constrained,133,0.5,625.0,9,4,0,10-10-10-10-10-10-10-10,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,0.0,True,True,True,True,4,"-1,0,1,-2",32,0.405939,True,True
bandwidth_0.5x,7,prefill_constrained,133,0.5,625.0,9,4,1,11-9-11-9-11-9-11-9,0.183594,0.171875,-2,0.175781,0.230469,4,0.79661,20.338961,6.818327,4.444735,False,False,True,True,4,"-1,0,1,2",32,2.817338,True,True
bandwidth_0.5x,19,decode_constrained,133,0.5,625.0,9,4,-1,9-11-9-11-9-11-9-11,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,0.0,True,True,True,True,4,"-1,0,1,-2",32,0.456821,True,True
bandwidth_0.5x,19,prefill_constrained,133,0.5,625.0,9,4,1,11-9-11-9-11-9-11-9,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,0.0,True,True,True,True,4,"-1,0,1,2",32,2.969073,True,True
bandwidth_1x,0,decode_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.027344,0.023438,-2,0.027344,0.035156,-4,0.77779,22.220958,16.665244,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.649974,True,True
bandwidth_1x,0,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,0.0,True,True,True,True,4,"-1,0,1,-2",36,7.601305,True,True
bandwidth_1x,1,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.023438,0.023438,-2,0.023438,0.042969,-4,0.545463,45.453699,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.666362,True,True
bandwidth_1x,1,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,0.0,True,True,True,True,4,"-1,0,1,-2",36,6.972924,True,True
