condition,seed,regime,candidate_radius,candidate_count,method_candidate_probes,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,runtime_reduction_pct,proposed_shift,oracle_shifts,oracle_ratio,matches_oracle_shift
expanded_20_seed_9_candidate,0,decode_constrained,2,5,4,32,40,20.0,0.639539,0.765025,16.402826,-2,-2,1.0,True
expanded_20_seed_9_candidate,0,decode_constrained,3,7,4,32,56,42.857143,0.639539,1.037478,38.356355,-2,-3,0.875008,False
expanded_20_seed_9_candidate,0,decode_constrained,4,9,4,32,72,55.555556,0.639539,1.295324,50.627108,-2,-4,0.77779,False
expanded_20_seed_9_candidate,0,prefill_constrained,2,5,4,36,45,20.0,7.679662,9.334466,17.727885,-2,-2,1.0,True
expanded_20_seed_9_candidate,0,prefill_constrained,3,7,4,36,62,41.935484,7.679662,12.087248,36.464757,-2,-2,1.0,True
expanded_20_seed_9_candidate,0,prefill_constrained,4,9,4,36,78,53.846154,7.679662,14.914702,48.509448,-2,-2,1.0,True
expanded_20_seed_9_candidate,1,decode_constrained,2,5,4,32,40,20.0,0.638566,0.786218,18.780012,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,1,decode_constrained,3,7,4,32,56,42.857143,0.638566,1.10281,42.096481,0,"-3,-2,-1,0",1.0,True
expanded_20_seed_9_candidate,1,decode_constrained,4,9,4,32,72,55.555556,0.638566,1.424783,55.181531,0,-4,0.545463,False
expanded_20_seed_9_candidate,1,prefill_constrained,2,5,4,36,45,20.0,7.00669,8.72222,19.668494,-2,-2,1.0,True
expanded_20_seed_9_candidate,1,prefill_constrained,3,7,4,36,63,42.857143,7.00669,12.117998,42.179472,-2,-2,1.0,True
expanded_20_seed_9_candidate,1,prefill_constrained,4,9,4,36,80,55.0,7.00669,14.313507,51.048403,-2,-2,1.0,True
expanded_20_seed_9_candidate,2,decode_constrained,2,5,4,32,40,20.0,0.727547,0.840871,13.47692,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,2,decode_constrained,3,7,4,32,56,42.857143,0.727547,1.124605,35.306445,0,-3,0.875008,False
expanded_20_seed_9_candidate,2,decode_constrained,4,9,4,32,72,55.555556,0.727547,1.459496,50.150777,0,-4,0.5,False
expanded_20_seed_9_candidate,2,prefill_constrained,2,5,4,32,40,20.0,3.332892,3.80505,12.408706,1,1,1.0,True
expanded_20_seed_9_candidate,2,prefill_constrained,3,7,4,32,56,42.857143,3.332892,5.71052,41.635925,1,3,0.816001,False
expanded_20_seed_9_candidate,2,prefill_constrained,4,9,4,32,72,55.555556,3.332892,7.531183,55.745435,1,3,0.816001,False
expanded_20_seed_9_candidate,3,decode_constrained,2,5,4,32,40,20.0,0.639883,0.795387,19.550754,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,3,decode_constrained,3,7,4,32,56,42.857143,0.639883,1.070731,40.238657,-1,"-3,-2,-1",1.0,True
expanded_20_seed_9_candidate,3,decode_constrained,4,9,4,32,72,55.555556,0.639883,1.353499,52.723794,-1,-4,0.666667,False
expanded_20_seed_9_candidate,3,prefill_constrained,2,5,4,32,40,20.0,8.21253,9.980351,17.713019,1,"1,2",1.0,True
expanded_20_seed_9_candidate,3,prefill_constrained,3,7,4,32,56,42.857143,8.21253,13.727497,40.1746,1,"1,2",1.0,True
expanded_20_seed_9_candidate,3,prefill_constrained,4,9,4,32,72,55.555556,8.21253,16.919402,51.460875,1,"1,2",1.0,True
expanded_20_seed_9_candidate,4,decode_constrained,2,5,4,32,40,20.0,0.616164,0.763685,19.31692,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,4,decode_constrained,3,7,4,32,56,42.857143,0.616164,1.170487,47.35829,0,-3,0.769225,False
expanded_20_seed_9_candidate,4,decode_constrained,4,9,4,32,72,55.555556,0.616164,1.445415,57.371111,0,-4,0.58823,False
expanded_20_seed_9_candidate,4,prefill_constrained,2,5,3,24,40,40.0,3.576236,5.784279,38.173179,0,0,1.0,True
expanded_20_seed_9_candidate,4,prefill_constrained,3,7,3,24,56,57.142857,3.576236,8.066374,55.664888,0,3,0.826531,False
expanded_20_seed_9_candidate,4,prefill_constrained,4,9,3,24,72,66.666667,3.576236,10.418318,65.673578,0,4,0.771428,False
expanded_20_seed_9_candidate,5,decode_constrained,2,5,4,32,40,20.0,0.592424,0.742385,20.199981,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,5,decode_constrained,3,7,4,32,56,42.857143,0.592424,1.123942,47.290549,-1,-3,0.749995,False
expanded_20_seed_9_candidate,5,decode_constrained,4,9,4,32,72,55.555556,0.592424,1.467885,59.641005,-1,-4,0.692306,False
expanded_20_seed_9_candidate,5,prefill_constrained,2,5,3,27,45,40.0,3.949491,6.223435,36.538399,0,0,1.0,True
expanded_20_seed_9_candidate,5,prefill_constrained,3,7,3,27,63,57.142857,3.949491,8.672238,54.458222,0,3,0.964029,False
expanded_20_seed_9_candidate,5,prefill_constrained,4,9,3,27,79,65.822785,3.949491,11.273498,64.966584,0,3,0.964029,False
expanded_20_seed_9_candidate,6,decode_constrained,2,5,4,32,40,20.0,0.540171,0.667657,19.094546,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,6,decode_constrained,3,7,4,32,56,42.857143,0.540171,0.960422,43.756923,-1,-3,0.666686,False
expanded_20_seed_9_candidate,6,decode_constrained,4,9,4,32,72,55.555556,0.540171,1.201025,55.024171,-1,"-4,-3",0.666686,False
expanded_20_seed_9_candidate,6,prefill_constrained,2,5,3,24,40,40.0,2.727621,4.261166,35.988874,0,-2,0.989131,False
expanded_20_seed_9_candidate,6,prefill_constrained,3,7,3,24,56,57.142857,2.727621,5.981707,54.400636,0,-3,0.968084,False
expanded_20_seed_9_candidate,6,prefill_constrained,4,9,3,24,72,66.666667,2.727621,7.717448,64.656443,0,-3,0.968084,False
expanded_20_seed_9_candidate,7,decode_constrained,2,5,4,32,40,20.0,0.485421,0.603022,19.502052,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,7,decode_constrained,3,7,4,32,56,42.857143,0.485421,0.900745,46.109009,0,-3,0.888895,False
expanded_20_seed_9_candidate,7,decode_constrained,4,9,4,32,72,55.555556,0.485421,1.220672,60.233344,0,-4,0.571423,False
expanded_20_seed_9_candidate,7,prefill_constrained,2,5,4,36,45,20.0,5.766693,7.034897,18.027332,-1,-1,1.0,True
