condition,seed,regime,request_count,bandwidth_multiplier,link_capacity_mb_s,candidate_count,candidate_radius,proposed_shift,proposed_partition,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,gain_over_joint_compute_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,candidate_probe_count,probe_order,method_evaluator_calls,method_runtime_s,all_sampled_monotonic,no_right_censoring
expanded_20_seed_9_candidate,0,decode_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.027344,0.023438,-2,0.027344,0.035156,-4,0.77779,22.220958,16.665244,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.491254,True,True
expanded_20_seed_9_candidate,0,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,0.0,True,True,True,True,4,"-1,0,1,-2",36,5.574185,True,True
expanded_20_seed_9_candidate,1,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.023438,0.023438,-2,0.023438,0.042969,-4,0.545463,45.453699,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.479346,True,True
expanded_20_seed_9_candidate,1,prefill_constrained,133,1.0,1250.0,9,4,-2,8-12-8-12-8-12-8-12,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,0.0,True,True,True,True,4,"-1,0,1,-2",36,5.152633,True,True
expanded_20_seed_9_candidate,2,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.027344,0.027344,-2,0.027344,0.054688,-4,0.5,50.0,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.556746,True,True
expanded_20_seed_9_candidate,2,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,54.545948,False,False,True,True,4,"-1,0,1,2",32,2.430627,True,True
expanded_20_seed_9_candidate,3,decode_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.03125,0.027344,-2,0.03125,0.046875,-4,0.666667,33.333333,14.284669,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.487552,True,True
expanded_20_seed_9_candidate,3,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,4.098522,True,True,True,True,4,"-1,0,1,2",32,5.938157,True,True
expanded_20_seed_9_candidate,4,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.039062,0.039062,-2,0.039062,0.066406,-4,0.58823,41.177002,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.468276,True,True
expanded_20_seed_9_candidate,4,prefill_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.316406,0.316406,-2,0.28125,0.410156,4,0.771428,22.857157,0.0,12.499911,False,False,True,True,3,"-1,0,1",24,2.56034,True,True
