condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
bandwidth_0.5x,0,decode_constrained,0.5,4,9,single_direction_adaptive,0,"-1,0,1,-2,-3,-4",6,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,48,72,33.333333,0.313574,0.433452,True,True
bandwidth_0.5x,0,decode_constrained,0.5,4,9,bidirectional_adaptive,0,"-1,0,1,-2,-3,-4",6,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,48,72,33.333333,0.313574,0.433452,True,True
bandwidth_0.5x,0,prefill_constrained,0.5,4,9,single_direction_adaptive,1,"-1,0,1,2",4,0.195312,0.183594,-2,0.132812,0.277344,3,0.704223,29.577709,6.382562,False,False,True,True,32,72,55.555556,1.66555,3.799344,True,True
bandwidth_0.5x,0,prefill_constrained,0.5,4,9,bidirectional_adaptive,1,"-1,0,1,-2,2",5,0.195312,0.183594,-2,0.132812,0.277344,3,0.704223,29.577709,6.382562,False,False,True,True,40,72,44.444444,2.020734,3.799344,True,True
bandwidth_0.5x,1,decode_constrained,0.5,4,9,single_direction_adaptive,-1,"-1,0,1,-2,-3,-4",6,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,48,72,33.333333,0.351081,0.469859,True,True
bandwidth_0.5x,1,decode_constrained,0.5,4,9,bidirectional_adaptive,-1,"-1,0,1,-2,-3,-4",6,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,48,72,33.333333,0.351081,0.469859,True,True
bandwidth_0.5x,1,prefill_constrained,0.5,4,9,single_direction_adaptive,0,"-1,0,1",3,0.304688,0.304688,-2,0.296875,0.328125,3,0.928573,7.142705,0.0,False,False,True,True,24,72,66.666667,1.423215,4.205205,True,True
bandwidth_0.5x,1,prefill_constrained,0.5,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.304688,0.304688,-2,0.296875,0.328125,3,0.928573,7.142705,0.0,False,False,True,True,24,72,66.666667,1.423215,4.205205,True,True
bandwidth_0.5x,2,decode_constrained,0.5,4,9,single_direction_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.019531,0.015625,-2,0.015625,0.019531,"-4,-3",1.0,0.0,24.9984,True,True,True,True,48,72,33.333333,0.373042,0.4895,True,True
bandwidth_0.5x,2,decode_constrained,0.5,4,9,bidirectional_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.019531,0.015625,-2,0.015625,0.019531,"-4,-3",1.0,0.0,24.9984,True,True,True,True,48,72,33.333333,0.373042,0.4895,True,True
