condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
expanded_20_seed,0,decode_constrained,1.0,2,5,single_direction_adaptive,-2,"-1,0,1,-2",4,0.027344,0.023438,-2,0.027344,0.027344,-2,1.0,0.0,16.665244,True,True,True,True,32,40,20.0,0.612842,0.738449,True,True
expanded_20_seed,0,decode_constrained,1.0,2,5,bidirectional_adaptive,-2,"-1,0,1,-2",4,0.027344,0.023438,-2,0.027344,0.027344,-2,1.0,0.0,16.665244,True,True,True,True,32,40,20.0,0.612842,0.738449,True,True
expanded_20_seed,0,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.023438,-2,0.027344,0.03125,-3,1.0,0.0,33.330489,True,True,True,True,40,56,28.571429,0.755329,1.006965,True,True
expanded_20_seed,0,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.023438,-2,0.027344,0.03125,-3,1.0,0.0,33.330489,True,True,True,True,40,56,28.571429,0.755329,1.006965,True,True
expanded_20_seed,0,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.931375,1.260085,True,True
expanded_20_seed,0,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.931375,1.260085,True,True
expanded_20_seed,0,prefill_constrained,1.0,2,5,single_direction_adaptive,-2,"-1,0,1,-2",4,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,36,45,20.0,7.275725,8.91096,True,True
expanded_20_seed,0,prefill_constrained,1.0,2,5,bidirectional_adaptive,-2,"-1,0,1,-2",4,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,36,45,20.0,7.275725,8.91096,True,True
expanded_20_seed,0,prefill_constrained,1.0,3,7,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,62,29.032258,8.573075,11.65849,True,True
expanded_20_seed,0,prefill_constrained,1.0,3,7,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,62,29.032258,8.573075,11.65849,True,True
expanded_20_seed,0,prefill_constrained,1.0,4,9,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,78,43.589744,8.573075,14.443182,True,True
expanded_20_seed,0,prefill_constrained,1.0,4,9,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,78,43.589744,8.573075,14.443182,True,True
expanded_20_seed,1,decode_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1,-2",4,0.023438,0.023438,-2,0.023438,0.023438,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.61378,0.751492,True,True
expanded_20_seed,1,decode_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1,-2",4,0.023438,0.023438,-2,0.023438,0.023438,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.61378,0.751492,True,True
expanded_20_seed,1,decode_constrained,1.0,3,7,single_direction_adaptive,0,"-1,0,1,-2,-3",5,0.023438,0.023438,-2,0.023438,0.023438,"-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,40,56,28.571429,0.77654,1.060422,True,True
expanded_20_seed,1,decode_constrained,1.0,3,7,bidirectional_adaptive,0,"-1,0,1,-2,-3",5,0.023438,0.023438,-2,0.023438,0.023438,"-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,40,56,28.571429,0.77654,1.060422,True,True
expanded_20_seed,1,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,48,72,33.333333,1.007134,1.365567,True,True
expanded_20_seed,1,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,48,72,33.333333,1.007134,1.365567,True,True
expanded_20_seed,1,prefill_constrained,1.0,2,5,single_direction_adaptive,-2,"-1,0,1,-2",4,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,36,45,20.0,6.536577,8.250632,True,True
expanded_20_seed,1,prefill_constrained,1.0,2,5,bidirectional_adaptive,-2,"-1,0,1,-2",4,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,36,45,20.0,6.536577,8.250632,True,True
expanded_20_seed,1,prefill_constrained,1.0,3,7,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,63,28.571429,8.467825,11.625987,True,True
expanded_20_seed,1,prefill_constrained,1.0,3,7,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,63,28.571429,8.467825,11.625987,True,True
expanded_20_seed,1,prefill_constrained,1.0,4,9,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,8.467825,13.803869,True,True
expanded_20_seed,1,prefill_constrained,1.0,4,9,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,8.467825,13.803869,True,True
expanded_20_seed,2,decode_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1,-2",4,0.027344,0.027344,-2,0.027344,0.027344,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.708931,0.81302,True,True
expanded_20_seed,2,decode_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1,-2",4,0.027344,0.027344,-2,0.027344,0.027344,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.708931,0.81302,True,True
expanded_20_seed,2,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.027344,0.03125,-3,1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.871901,1.080452,True,True
expanded_20_seed,2,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.027344,0.03125,-3,1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.871901,1.080452,True,True
expanded_20_seed,2,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,1.123428,1.40584,True,True
expanded_20_seed,2,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,1.123428,1.40584,True,True
expanded_20_seed,2,prefill_constrained,1.0,2,5,single_direction_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.398438,1,1.0,0.0,2.000128,True,True,True,True,32,40,20.0,3.10376,3.566677,True,True
