condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
bandwidth_0.5x,0,decode_constrained,0.5,-4,0.015625,0.019531,8,0.110615,True,False,True
bandwidth_0.5x,0,decode_constrained,0.5,-3,0.015625,0.019531,8,0.107156,True,False,True
bandwidth_0.5x,0,decode_constrained,0.5,-2,0.015625,0.019531,8,0.103673,True,False,True
bandwidth_0.5x,0,decode_constrained,0.5,-1,0.015625,0.019531,8,0.102451,True,False,True
bandwidth_0.5x,0,decode_constrained,0.5,0,0.015625,0.019531,8,0.103589,True,False,True
bandwidth_0.5x,0,decode_constrained,0.5,1,0.003906,0.007812,8,0.08581,True,False,False
bandwidth_0.5x,0,decode_constrained,0.5,2,0.003906,0.007812,8,0.078256,True,False,False
bandwidth_0.5x,0,decode_constrained,0.5,3,0.003906,0.007812,8,0.075817,True,False,False
bandwidth_0.5x,0,decode_constrained,0.5,4,0.003906,0.007812,8,0.076584,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,-4,0.117188,0.121094,8,0.665918,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,-3,0.136719,0.140625,8,0.717726,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,-2,0.132812,0.136719,8,0.699683,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,-1,0.1875,0.191406,8,0.775026,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,0,0.183594,0.1875,8,0.842768,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,1,0.195312,0.199219,8,0.833742,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,2,0.191406,0.195312,8,0.839197,True,False,False
bandwidth_0.5x,0,prefill_constrained,0.5,3,0.277344,0.28125,8,1.133988,True,False,True
bandwidth_0.5x,0,prefill_constrained,0.5,4,0.273438,0.277344,8,1.023433,True,False,False
bandwidth_0.5x,1,decode_constrained,0.5,-4,0.015625,0.019531,8,0.116868,True,False,True
bandwidth_0.5x,1,decode_constrained,0.5,-3,0.015625,0.019531,8,0.116811,True,False,True
bandwidth_0.5x,1,decode_constrained,0.5,-2,0.015625,0.019531,8,0.116665,True,False,True
bandwidth_0.5x,1,decode_constrained,0.5,-1,0.015625,0.019531,8,0.117206,True,False,True
bandwidth_0.5x,1,decode_constrained,0.5,0,0.011719,0.015625,8,0.148208,True,False,False
bandwidth_0.5x,1,decode_constrained,0.5,1,0.003906,0.007812,8,0.081387,True,False,False
bandwidth_0.5x,1,decode_constrained,0.5,2,0.003906,0.007812,8,0.07746,True,False,False
bandwidth_0.5x,1,decode_constrained,0.5,3,0.003906,0.007812,8,0.07792,True,False,False
bandwidth_0.5x,1,decode_constrained,0.5,4,0.003906,0.007812,8,0.076422,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,-4,0.304688,0.308594,8,0.898076,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,-3,0.304688,0.308594,8,0.914287,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,-2,0.296875,0.300781,8,0.823478,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,-1,0.289062,0.292969,8,0.834905,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,0,0.304688,0.308594,8,0.956008,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,1,0.300781,0.304688,8,0.97093,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,2,0.292969,0.296875,8,0.972334,True,False,False
bandwidth_0.5x,1,prefill_constrained,0.5,3,0.328125,0.332031,8,0.927517,True,False,True
bandwidth_0.5x,1,prefill_constrained,0.5,4,0.320312,0.324219,8,0.940054,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,-4,0.019531,0.023438,8,0.152344,True,False,True
bandwidth_0.5x,2,decode_constrained,0.5,-3,0.019531,0.023438,8,0.153268,True,False,True
bandwidth_0.5x,2,decode_constrained,0.5,-2,0.015625,0.019531,8,0.125128,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,-1,0.015625,0.019531,8,0.126032,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,0,0.015625,0.019531,8,0.115213,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,1,0.003906,0.007812,8,0.079428,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,2,0.003906,0.007812,8,0.077633,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,3,0.003906,0.007812,8,0.078235,True,False,False
bandwidth_0.5x,2,decode_constrained,0.5,4,0.003906,0.007812,8,0.077434,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,-4,0.035156,0.039062,8,0.269608,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,-3,0.078125,0.082031,8,0.308393,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,-2,0.078125,0.082031,8,0.309719,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,-1,0.074219,0.078125,8,0.361011,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,0,0.117188,0.121094,8,0.458589,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,1,0.113281,0.117188,8,0.465936,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,2,0.117188,0.121094,8,0.463675,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,3,0.113281,0.117188,8,0.469967,True,False,False
bandwidth_0.5x,2,prefill_constrained,0.5,4,0.148438,0.152344,8,0.479386,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,-4,0.019531,0.023438,8,0.168986,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,-3,0.019531,0.023438,8,0.154336,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,-2,0.019531,0.023438,8,0.154864,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,-1,0.019531,0.023438,8,0.155103,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,0,0.019531,0.023438,8,0.156321,True,False,True
bandwidth_0.5x,3,decode_constrained,0.5,1,0.003906,0.007812,8,0.106669,True,False,False
bandwidth_0.5x,3,decode_constrained,0.5,2,0.003906,0.007812,8,0.104763,True,False,False
bandwidth_0.5x,3,decode_constrained,0.5,3,0.003906,0.007812,8,0.105844,True,False,False
bandwidth_0.5x,3,decode_constrained,0.5,4,0.003906,0.007812,8,0.084601,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-4,0.214844,0.21875,8,1.103816,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-3,0.207031,0.210938,8,1.094119,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-2,0.207031,0.210938,8,1.112791,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-1,0.203125,0.207031,8,1.108135,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,0,0.253906,0.257812,8,1.35993,True,False,True
bandwidth_0.5x,3,prefill_constrained,0.5,1,0.246094,0.25,8,1.25957,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,2,0.242188,0.246094,8,1.263457,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,3,0.238281,0.242188,8,1.100486,True,False,False
