condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
bandwidth_0.5x,0,decode_constrained,0.5,4,9,coarse_top1,0,"-4,-2,0,2,4,-1,1",7,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,56,72,22.222222,0.660978,0.843951
bandwidth_0.5x,0,decode_constrained,0.5,4,9,coarse_top2,0,"-4,-2,0,2,4,-1,1,-3",8,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,64,72,11.111111,0.768134,0.843951
bandwidth_0.5x,0,decode_constrained,0.5,4,9,coarse_top3,0,"-4,-2,0,2,4,-1,1,-3",8,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,64,72,11.111111,0.768134,0.843951
bandwidth_0.5x,0,prefill_constrained,0.5,4,9,coarse_top1,3,"-4,-2,0,2,4,3",6,0.277344,0.183594,-2,0.132812,0.277344,3,1.0,0.0,51.06376,True,True,True,True,48,72,33.333333,5.204987,7.531482
bandwidth_0.5x,0,prefill_constrained,0.5,4,9,coarse_top2,3,"-4,-2,0,2,4,3,1",7,0.277344,0.183594,-2,0.132812,0.277344,3,1.0,0.0,51.06376,True,True,True,True,56,72,22.222222,6.03873,7.531482
bandwidth_0.5x,0,prefill_constrained,0.5,4,9,coarse_top3,3,"-4,-2,0,2,4,3,1,-1",8,0.277344,0.183594,-2,0.132812,0.277344,3,1.0,0.0,51.06376,True,True,True,True,64,72,11.111111,6.813755,7.531482
bandwidth_0.5x,1,decode_constrained,0.5,4,9,coarse_top1,-1,"-4,-2,0,2,4,-3,-1",7,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,56,72,22.222222,0.76964,0.928947
bandwidth_0.5x,1,decode_constrained,0.5,4,9,coarse_top2,-1,"-4,-2,0,2,4,-3,-1",7,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,56,72,22.222222,0.76964,0.928947
bandwidth_0.5x,1,decode_constrained,0.5,4,9,coarse_top3,-1,"-4,-2,0,2,4,-3,-1,1",8,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,64,72,11.111111,0.851027,0.928947
bandwidth_0.5x,1,prefill_constrained,0.5,4,9,coarse_top1,3,"-4,-2,0,2,4,3",6,0.328125,0.304688,-2,0.296875,0.328125,3,1.0,0.0,7.692131,True,True,True,True,48,72,33.333333,5.517467,8.237589
bandwidth_0.5x,1,prefill_constrained,0.5,4,9,coarse_top2,3,"-4,-2,0,2,4,3,-1,1",8,0.328125,0.304688,-2,0.296875,0.328125,3,1.0,0.0,7.692131,True,True,True,True,64,72,11.111111,7.323302,8.237589
bandwidth_0.5x,1,prefill_constrained,0.5,4,9,coarse_top3,3,"-4,-2,0,2,4,3,-1,1,-3",9,0.328125,0.304688,-2,0.296875,0.328125,3,1.0,0.0,7.692131,True,True,True,True,72,72,0.0,8.237589,8.237589
bandwidth_0.5x,2,decode_constrained,0.5,4,9,coarse_top1,-3,"-4,-2,0,2,4,-3",6,0.019531,0.015625,-2,0.015625,0.019531,"-4,-3",1.0,0.0,24.9984,True,True,True,True,48,72,33.333333,0.70102,0.984715
bandwidth_0.5x,2,decode_constrained,0.5,4,9,coarse_top2,-3,"-4,-2,0,2,4,-3,-1,1",8,0.019531,0.015625,-2,0.015625,0.019531,"-4,-3",1.0,0.0,24.9984,True,True,True,True,64,72,11.111111,0.90648,0.984715
bandwidth_0.5x,2,decode_constrained,0.5,4,9,coarse_top3,-3,"-4,-2,0,2,4,-3,-1,1",8,0.019531,0.015625,-2,0.015625,0.019531,"-4,-3",1.0,0.0,24.9984,True,True,True,True,64,72,11.111111,0.90648,0.984715
bandwidth_0.5x,2,prefill_constrained,0.5,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.148438,0.117188,-2,0.078125,0.148438,4,1.0,0.0,26.666553,True,True,True,True,48,72,33.333333,2.450943,3.586284
