condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
expanded_20_seed,0,decode_constrained,1.0,-4,0.035156,0.039062,8,0.13996,True,False,True
expanded_20_seed,0,decode_constrained,1.0,-3,0.03125,0.035156,8,0.112141,True,False,False
expanded_20_seed,0,decode_constrained,1.0,-2,0.027344,0.03125,8,0.148725,True,False,False
expanded_20_seed,0,decode_constrained,1.0,-1,0.023438,0.027344,8,0.122,True,False,False
expanded_20_seed,0,decode_constrained,1.0,0,0.023438,0.027344,8,0.119203,True,False,False
expanded_20_seed,0,decode_constrained,1.0,1,0.011719,0.015625,8,0.100145,True,False,False
expanded_20_seed,0,decode_constrained,1.0,2,0.011719,0.015625,8,0.100726,True,False,False
expanded_20_seed,0,decode_constrained,1.0,3,0.011719,0.015625,8,0.101763,True,False,False
expanded_20_seed,0,decode_constrained,1.0,4,0.003906,0.007812,8,0.061477,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,-4,0.460938,0.464844,8,0.992463,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,-3,0.449219,0.453125,8,0.985562,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,-2,0.539062,0.542969,9,1.343217,True,False,True
expanded_20_seed,0,prefill_constrained,1.0,-1,0.535156,0.539062,9,1.368492,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,0,0.523438,0.527344,9,1.394883,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,1,0.511719,0.515625,9,1.368248,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,2,0.507812,0.511719,9,1.249762,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,3,0.5,0.503906,9,1.116302,True,False,False
expanded_20_seed,0,prefill_constrained,1.0,4,0.46875,0.472656,8,1.150265,True,False,False
expanded_20_seed,1,decode_constrained,1.0,-4,0.042969,0.046875,8,0.187283,True,False,True
expanded_20_seed,1,decode_constrained,1.0,-3,0.023438,0.027344,8,0.137939,True,False,False
expanded_20_seed,1,decode_constrained,1.0,-2,0.023438,0.027344,8,0.130555,True,False,False
expanded_20_seed,1,decode_constrained,1.0,-1,0.023438,0.027344,8,0.131079,True,False,False
expanded_20_seed,1,decode_constrained,1.0,0,0.023438,0.027344,8,0.134068,True,False,False
expanded_20_seed,1,decode_constrained,1.0,1,0.011719,0.015625,8,0.108766,True,False,False
expanded_20_seed,1,decode_constrained,1.0,2,0.011719,0.015625,8,0.108487,True,False,False
expanded_20_seed,1,decode_constrained,1.0,3,0.011719,0.015625,8,0.109532,True,False,False
expanded_20_seed,1,decode_constrained,1.0,4,0.003906,0.007812,8,0.061715,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,-4,0.5,0.503906,9,0.657397,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,-3,0.621094,0.625,9,1.446025,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,-2,0.667969,0.671875,9,1.394828,True,False,True
expanded_20_seed,1,prefill_constrained,1.0,-1,0.660156,0.664062,9,1.242408,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,0,0.648438,0.652344,9,1.247566,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,1,0.632812,0.636719,9,1.088,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,2,0.648438,0.652344,9,1.278609,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,3,0.539062,0.542969,9,1.114746,True,False,False
expanded_20_seed,1,prefill_constrained,1.0,4,0.417969,0.421875,8,0.996016,True,False,False
expanded_20_seed,2,decode_constrained,1.0,-4,0.054688,0.058594,8,0.206876,True,False,True
expanded_20_seed,2,decode_constrained,1.0,-3,0.03125,0.035156,8,0.128782,True,False,False
expanded_20_seed,2,decode_constrained,1.0,-2,0.027344,0.03125,8,0.156577,True,False,False
expanded_20_seed,2,decode_constrained,1.0,-1,0.027344,0.03125,8,0.159869,True,False,False
expanded_20_seed,2,decode_constrained,1.0,0,0.027344,0.03125,8,0.160307,True,False,False
expanded_20_seed,2,decode_constrained,1.0,1,0.015625,0.019531,8,0.084507,True,False,False
expanded_20_seed,2,decode_constrained,1.0,2,0.015625,0.019531,8,0.082708,True,False,False
expanded_20_seed,2,decode_constrained,1.0,3,0.015625,0.019531,8,0.090305,True,False,False
expanded_20_seed,2,decode_constrained,1.0,4,0.003906,0.007812,8,0.058907,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,-4,0.230469,0.234375,8,0.511807,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,-3,0.265625,0.269531,8,0.351866,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,-2,0.257812,0.261719,8,0.360785,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,-1,0.316406,0.320312,8,0.493561,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,0,0.390625,0.394531,8,0.548163,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,1,0.398438,0.402344,8,0.679205,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,2,0.386719,0.390625,8,0.714492,True,False,False
expanded_20_seed,2,prefill_constrained,1.0,3,0.488281,0.492188,8,1.057166,True,False,True
expanded_20_seed,2,prefill_constrained,1.0,4,0.402344,0.40625,8,0.860866,True,False,False
expanded_20_seed,3,decode_constrained,1.0,-4,0.046875,0.050781,8,0.160501,True,False,True
expanded_20_seed,3,decode_constrained,1.0,-3,0.03125,0.035156,8,0.115497,True,False,False
expanded_20_seed,3,decode_constrained,1.0,-2,0.03125,0.035156,8,0.102606,True,False,False
expanded_20_seed,3,decode_constrained,1.0,-1,0.03125,0.035156,8,0.104111,True,False,False
expanded_20_seed,3,decode_constrained,1.0,0,0.027344,0.03125,8,0.180758,True,False,False
expanded_20_seed,3,decode_constrained,1.0,1,0.019531,0.023438,8,0.12737,True,False,False
expanded_20_seed,3,decode_constrained,1.0,2,0.019531,0.023438,8,0.120066,True,False,False
expanded_20_seed,3,decode_constrained,1.0,3,0.015625,0.019531,8,0.096999,True,False,False
expanded_20_seed,3,decode_constrained,1.0,4,0.003906,0.007812,8,0.067946,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,-4,0.449219,0.453125,8,1.289975,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,-3,0.480469,0.484375,8,1.372149,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,-2,0.476562,0.480469,8,1.368589,True,False,False
