condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
expanded_20_seed,0,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.682232,1.006141
expanded_20_seed,0,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,56,72,22.222222,0.804232,1.006141
expanded_20_seed,0,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,64,72,11.111111,0.904377,1.006141
expanded_20_seed,0,prefill_constrained,1.0,4,9,coarse_top1,-2,"-4,-2,0,2,4,-3,-1",7,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,60,78,23.076923,8.484643,10.969193
expanded_20_seed,0,prefill_constrained,1.0,4,9,coarse_top2,-2,"-4,-2,0,2,4,-3,-1,1",8,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,69,78,11.538462,9.852891,10.969193
expanded_20_seed,0,prefill_constrained,1.0,4,9,coarse_top3,-2,"-4,-2,0,2,4,-3,-1,1,3",9,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,78,78,0.0,10.969193,10.969193
expanded_20_seed,1,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,48,72,33.333333,0.760048,1.109425
expanded_20_seed,1,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,64,72,11.111111,0.999893,1.109425
expanded_20_seed,1,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,64,72,11.111111,0.999893,1.109425
expanded_20_seed,1,prefill_constrained,1.0,4,9,coarse_top1,-2,"-4,-2,0,2,4,-3,-1",7,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,62,80,22.5,8.262848,10.465594
expanded_20_seed,1,prefill_constrained,1.0,4,9,coarse_top2,-2,"-4,-2,0,2,4,-3,-1,1",8,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,71,80,11.25,9.350848,10.465594
expanded_20_seed,1,prefill_constrained,1.0,4,9,coarse_top3,-2,"-4,-2,0,2,4,-3,-1,1,3",9,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,80,80,0.0,10.465594,10.465594
expanded_20_seed,2,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,0.794156,1.128837
