scenario,role,partition_id,partition,weighted_layers,safe_lambda,unsafe_lambda,reference_lambda,safe_at_reference,first_violation_at_reference,event_count_at_reference,minimum_link_headroom_mb_s_at_reference,event_time_s,event_position,active_requests,active_prefill,active_decode,critical_stage,critical_stage_layers,critical_stage_speed,critical_stage_weighted_layers,max_prefill_compute_s,max_decode_compute_s,min_prefill_residual_s,min_decode_residual_s,min_residual_s,critical_request_id,critical_request_phase,aggregate_link_commitment_mb_s,max_request_commitment_mb_s,network_utilization,link_headroom_mb_s
homogeneous_control,worst,random_13,14-11-13-11-8-8-6-9,80.0,0.009,0.0095,0.0095,False,network,166,-134.718641,22.105263158,post,7,1,6,0,14,1.0,14.0,0.03690496,0.047393921,1.836312403,0.059690942,0.059690942,16,decode,1384.718641099,234.541447012,1.107774913,-134.718641099
homogeneous_control,uniform,uniform,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,0.0095,False,network,166,-134.718641,22.105263158,post,7,1,6,0,10,1.0,10.0,0.03690496,0.047393921,1.836312403,0.059690942,0.059690942,16,decode,1384.718641099,234.541447012,1.107774913,-134.718641099
homogeneous_control,best,random_18,6-13-6-10-11-12-7-15,80.0,0.009,0.0095,0.0095,False,network,166,-134.718641,22.105263158,post,7,1,6,7,15,1.0,15.0,0.03690496,0.047393921,1.836312403,0.059690942,0.059690942,16,decode,1384.718641099,234.541447012,1.107774913,-134.718641099
mild_alternating,worst,random_17,7-15-8-10-10-10-8-12,83.98977,0.0085,0.009,0.0095,False,network,116,-200.251676,16.842105263,post,7,1,6,1,15,0.85,17.647058824,0.038745489,0.049739102,1.834471874,0.055469617,0.055469617,11,decode,1450.251676328,252.390420324,1.160201341,-200.251676328
mild_alternating,uniform,uniform,10-10-10-10-10-10-10-10,81.841432,0.009,0.0095,0.0095,False,network,166,-179.844578,22.105263158,post,7,1,6,1,10,0.85,11.764705882,0.037754435,0.04848483,1.835462928,0.057727307,0.057727307,16,decode,1429.844578241,242.519541957,1.143875663,-179.844578241
mild_alternating,best,random_04,10-9-12-7-14-6-11-11,79.693095,0.009,0.0095,0.0095,False,network,166,-127.474946,22.105263158,post,7,1,6,7,11,0.85,12.941176471,0.036763381,0.047212103,1.836453982,0.060018215,0.060018215,16,decode,1377.474946211,233.262518789,1.101979957,-127.474946211
single_slow_stage,worst,random_08,12-10-8-15-9-10-5-11,92.272727,0.006,0.0065,0.007,False,network,160,-166.941068,28.571428571,post,6,1,5,3,15,0.55,27.272727273,0.042164945,0.053915714,1.831052417,0.047951715,0.047951715,16,decode,1416.941068161,291.960358723,1.133552855,-166.941068161
single_slow_stage,uniform,uniform,10-10-10-10-10-10-10-10,88.181818,0.0065,0.007,0.007,False,network,162,-56.623147,28.571428571,post,6,1,5,3,10,0.55,18.181818182,0.040295564,0.051544479,1.832921799,0.052219937,0.052219937,16,decode,1306.623146605,268.096838012,1.045298517,-56.623146605
single_slow_stage,best,compute_balanced,11-11-11-6-11-10-10-10,84.909091,0.0085,0.009,0.007,True,,204,20.162701,28.571428571,post,6,1,5,0,11,1.0,11.0,0.038800058,0.049631488,1.834417305,0.055663321,0.055663321,16,decode,1229.837299385,251.512123158,0.98386984,20.162700615
graded,worst,random_05,10-5-14-10-7-10-12-12,92.006882,0.006,0.0065,0.0065,False,network,162,-159.593373,30.769230769,post,6,1,5,7,12,0.6,20.0,0.042043465,0.053780325,1.831173898,0.048195415,0.048195415,16,decode,1409.593373166,290.484063153,1.127674699,-159.593373166
graded,uniform,uniform,10-10-10-10-10-10-10-10,89.680042,0.006,0.0065,0.0065,False,network,163,-95.259945,30.769230769,post,6,1,5,7,10,0.6,16.666666667,0.040980192,0.052420229,1.832237171,0.050643588,0.050643588,16,decode,1345.259944794,276.441708238,1.076207956,-95.259944794
graded,best,compute_balanced,14-13-12-11-9-8-7-6,83.511655,0.0085,0.009,0.0065,True,,204,305.410455,29.230769231,post,5,1,4,3,11,1.0,11.0,0.019958617,0.048137134,1.91423913,0.058353158,0.058353158,16,decode,944.589544703,239.918462445,0.755671636,305.410455297
shuffled_severe,worst,random_02,10-8-13-7-14-13-9-6,94.732058,0.006,0.0065,0.0065,False,network,162,-243.534964,30.769230769,post,6,1,5,4,14,0.65,21.538461538,0.043288761,0.055373259,1.829928602,0.045328135,0.045328135,16,decode,1493.53496409,308.858949215,1.194827971,-243.53496409
shuffled_severe,uniform,uniform,10-10-10-10-10-10-10-10,90.265871,0.006,0.0065,0.0065,False,network,163,-110.936465,30.769230769,post,6,1,5,0,10,0.6,16.666666667,0.041247893,0.052762661,1.83196947,0.050027211,0.050027211,16,decode,1360.936464745,279.847702479,1.088749172,-110.936464745
shuffled_severe,best,compute_balanced,6-14-8-12-7-11-9-13,83.193363,0.0085,0.009,0.0065,True,,204,310.485878,29.230769231,post,5,1,4,1,14,1.3,10.769230769,0.019882548,0.047953667,1.914315199,0.058683399,0.058683399,16,decode,939.514122118,238.568321483,0.751611298,310.485877882
