scenario,role,partition_id,partition,weighted_layers,safe_lambda,unsafe_lambda,diagnostic_lambda,event_time_s,event_count,check_position,active_requests,active_prefill,active_decode,minimum_residual_s,mean_residual_s,minimum_prefill_residual_s,minimum_decode_residual_s,maximum_prefill_compute_s,maximum_decode_compute_s,aggregate_link_commitment_mb_s,link_capacity_mb_s,normalized_link_commitment,link_headroom_mb_s,violation
homogeneous_control,worst,uniform,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,0.0095,22.105263157894736,166,post,7,1,6,0.05969094238281251,0.3146401332962054,1.8363124028000002,0.05969094238281251,0.03690496,0.0473939208984375,1384.7186410987943,1250.0,1.1077749128790355,-134.71864109879425,network
homogeneous_control,uniform,uniform,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,0.0095,22.105263157894736,166,post,7,1,6,0.05969094238281251,0.3146401332962054,1.8363124028000002,0.05969094238281251,0.03690496,0.0473939208984375,1384.7186410987943,1250.0,1.1077749128790355,-134.71864109879425,network
homogeneous_control,best,uniform,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,0.0095,22.105263157894736,166,post,7,1,6,0.05969094238281251,0.3146401332962054,1.8363124028000002,0.05969094238281251,0.03690496,0.0473939208984375,1384.7186410987943,1250.0,1.1077749128790355,-134.71864109879425,network
mild_alternating,worst,random_00,8-12-8-9-10-9-13-11,82.148338,0.0085,0.009,0.009,23.333333333333336,167,post,7,1,6,0.05740003418593149,0.3125610553922717,1.8353213488869566,0.05740003418593149,0.03789601391304348,0.0486666476744825,1437.7829967894102,1250.0,1.150226397431528,-187.78299678941016,network
mild_alternating,uniform,uniform,10-10-10-10-10-10-10-10,81.841432,0.009,0.0095,0.0095,22.105263157894736,166,post,7,1,6,0.05772730678548591,0.3128620449266259,1.8354629280173915,0.05772730678548591,0.03775443478260871,0.048484829563618936,1429.8445782405727,1250.0,1.1438756625924582,-179.84457824057267,network
mild_alternating,best,uniform,10-10-10-10-10-10-10-10,81.841432,0.009,0.0095,0.0095,22.105263157894736,166,post,7,1,6,0.05772730678548591,0.3128620449266259,1.8354629280173915,0.05772730678548591,0.03775443478260871,0.048484829563618936,1429.8445782405727,1250.0,1.1438756625924582,-179.84457824057267,network
single_slow_stage,worst,random_06,8-13-10-11-12-10-6-10,89.0,0.006,0.0065,0.0065,30.769230769230766,163,post,6,1,5,0.051359091088867194,0.3496569061030599,1.8325479228000001,0.051359091088867194,0.04066944,0.05202272717285156,1327.5126261200458,1250.0,1.0620101008960365,-77.51262612004575,network
single_slow_stage,uniform,uniform,10-10-10-10-10-10-10-10,88.181818,0.0065,0.007,0.007,28.57142857142857,162,post,6,1,5,0.05221993703391334,0.35042915197797114,1.8329217991636366,0.05221993703391334,0.04029556363636364,0.0515444794256037,1306.62314660517,1250.0,1.045298517284136,-56.62314660516995,network
single_slow_stage,best,compute_balanced,11-11-11-6-11-10-10-10,84.909091,0.0085,0.009,0.009,23.333333333333336,166,post,7,1,6,0.0544560683926669,0.30989991134730366,1.8340477802545456,0.0544560683926669,0.039169582545454544,0.05030218422629616,1511.9775537169567,1250.0,1.2095820429735653,-261.97755371695666,network
graded,worst,uniform,10-10-10-10-10-10-10-10,89.680042,0.006,0.0065,0.0065,30.769230769230766,163,post,6,1,5,0.050643588079462024,0.3490198111003198,1.8322371707254081,0.050643588079462024,0.04098019207459208,0.052420228844743316,1345.2599447935293,1250.0,1.0762079558348234,-95.25994479352926,network
graded,uniform,uniform,10-10-10-10-10-10-10-10,89.680042,0.006,0.0065,0.0065,30.769230769230766,163,post,6,1,5,0.050643588079462024,0.3490198111003198,1.8322371707254081,0.050643588079462024,0.04098019207459208,0.052420228844743316,1345.2599447935293,1250.0,1.0762079558348234,-95.25994479352926,network
graded,best,compute_balanced,14-13-12-11-9-8-7-6,83.511655,0.0085,0.009,0.009,23.333333333333336,167,post,7,1,6,0.055946242636300464,0.31124455802050344,1.8346924342032636,0.055946242636300464,0.0385249285967366,0.049474309646499744,1473.5513255127792,1250.0,1.1788410604102233,-223.55132551277916,network
shuffled_severe,worst,uniform,10-10-10-10-10-10-10-10,90.265871,0.006,0.0065,0.0065,30.769230769230766,163,post,6,1,5,0.050027210786426045,0.34847097917643716,1.8319694702125875,0.050027210786426045,0.041247892587412585,0.05276266067420775,1360.9364647453315,1250.0,1.0887491717962652,-110.93646474533148,network
shuffled_severe,uniform,uniform,10-10-10-10-10-10-10-10,90.265871,0.006,0.0065,0.0065,30.769230769230766,163,post,6,1,5,0.050027210786426045,0.34847097917643716,1.8319694702125875,0.050027210786426045,0.041247892587412585,0.05276266067420775,1360.9364647453315,1250.0,1.0887491717962652,-110.93646474533148,network
shuffled_severe,best,compute_balanced,6-14-8-12-7-11-9-13,83.193363,0.0085,0.009,0.009,23.333333333333336,167,post,7,1,6,0.056285656998440146,0.31155191853295844,1.8348392658974362,0.056285656998440146,0.03837809690256411,0.04928574611197769,1465.0411569492373,1250.0,1.17203292555939,-215.04115694923735,network
