scenario,method,reference_lambda,partition_evaluation_budget,partition,weighted_layers,safe_lambda,unsafe_lambda,safe_at_reference,first_violation_at_reference,minimum_link_headroom_mb_s_at_reference
homogeneous_control,uniform,0.0095,1,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,False,network,-134.718641
homogeneous_control,compute_balanced,0.0095,1,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,False,network,-134.718641
homogeneous_control,equal_budget_random,0.0095,15,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,False,network,-134.718641
homogeneous_control,sla_boundary_search,0.0095,15,10-10-10-10-10-10-10-10,80.0,0.009,0.0095,False,network,-134.718641
mild_alternating,uniform,0.0095,1,10-10-10-10-10-10-10-10,81.841432,0.009,0.0095,False,network,-179.844578
mild_alternating,compute_balanced,0.0095,1,12-9-12-9-11-8-11-8,80.0,0.009,0.0095,False,network,-134.718641
mild_alternating,equal_budget_random,0.0095,201,12-8-14-9-14-6-9-8,79.079284,0.009,0.0095,False,network,-113.325024
mild_alternating,sla_boundary_search,0.0095,201,15-5-15-5-14-5-15-6,76.01023,0.0095,0.01,True,,189.478938
single_slow_stage,uniform,0.007,1,10-10-10-10-10-10-10-10,88.181818,0.0065,0.007,False,network,-56.623147
single_slow_stage,compute_balanced,0.007,1,11-11-11-6-11-10-10-10,84.909091,0.0085,0.009,True,,20.162701
single_slow_stage,equal_budget_random,0.007,77,14-14-8-5-14-11-5-9,84.090909,0.0085,0.009,True,,37.832979
single_slow_stage,sla_boundary_search,0.007,77,10-10-15-5-10-10-10-10,84.090909,0.0085,0.009,True,,37.832979
graded,uniform,0.0065,1,10-10-10-10-10-10-10-10,89.680042,0.006,0.0065,False,network,-95.259945
graded,compute_balanced,0.0065,1,14-13-12-11-9-8-7-6,83.511655,0.0085,0.009,True,,305.410455
graded,equal_budget_random,0.0065,378,13-12-14-10-9-8-9-5,83.917749,0.0085,0.009,True,,298.854009
graded,sla_boundary_search,0.0065,378,10-10-14-14-15-7-5-5,83.645771,0.0085,0.009,True,,303.255249
shuffled_severe,uniform,0.0065,1,10-10-10-10-10-10-10-10,90.265871,0.006,0.0065,False,network,-110.936465
shuffled_severe,compute_balanced,0.0065,1,6-14-8-12-7-11-9-13,83.193363,0.0085,0.009,True,,310.485878
shuffled_severe,equal_budget_random,0.0065,166,8-12-7-10-5-14-11-13,83.991526,0.0085,0.009,True,,297.652989
shuffled_severe,sla_boundary_search,0.0065,166,5-15-10-15-5-10-5-15,80.370698,0.009,0.0095,True,,353.089521
