scenario,reference_lambda,iteration,partition,safe_at_reference,minimum_link_headroom_mb_s_at_reference
homogeneous_control,0.0095,0,10-10-10-10-10-10-10-10,False,-134.718641
mild_alternating,0.0095,0,10-10-10-10-10-10-10-10,False,-179.844578
mild_alternating,0.0095,1,11-9-10-10-10-10-10-10,False,-172.119047
mild_alternating,0.0095,2,12-8-10-10-10-10-10-10,False,-164.477106
mild_alternating,0.0095,3,13-7-10-10-10-10-10-10,False,-156.917403
mild_alternating,0.0095,4,14-6-10-10-10-10-10-10,False,-149.438616
mild_alternating,0.0095,5,15-5-10-10-10-10-10-10,False,-142.039451
mild_alternating,0.0095,6,15-5-11-9-10-10-10-10,False,-134.718641
mild_alternating,0.0095,7,15-5-11-9-11-9-10-10,False,-127.474946
mild_alternating,0.0095,8,15-5-11-9-12-8-10-10,False,-120.307153
mild_alternating,0.0095,9,15-5-11-9-12-7-11-10,False,-113.325024
mild_alternating,0.0095,10,15-5-12-8-12-7-11-10,False,-106.303948
mild_alternating,0.0095,11,15-5-13-7-12-7-11-10,False,-99.355307
mild_alternating,0.0095,12,15-5-14-6-12-7-11-10,False,-92.477984
mild_alternating,0.0095,13,15-5-15-5-12-7-11-10,False,-85.670886
mild_alternating,0.0095,14,15-5-15-5-13-6-11-10,True,163.839674
mild_alternating,0.0095,15,15-5-15-5-14-5-11-10,True,169.08637
mild_alternating,0.0095,16,15-5-15-5-14-5-12-9,True,174.185373
mild_alternating,0.0095,17,15-5-15-5-14-5-13-8,True,179.332405
mild_alternating,0.0095,18,15-5-15-5-14-5-14-7,True,184.430023
mild_alternating,0.0095,19,15-5-15-5-14-5-15-6,True,189.478938
single_slow_stage,0.007,0,10-10-10-10-10-10-10-10,False,-56.623147
single_slow_stage,0.007,1,10-10-11-9-10-10-10-10,False,-36.53459
single_slow_stage,0.007,2,10-10-12-8-10-10-10-10,False,-17.058942
single_slow_stage,0.007,3,10-10-13-7-10-10-10-10,True,1.831477
single_slow_stage,0.007,4,10-10-14-6-10-10-10-10,True,20.162701
single_slow_stage,0.007,5,10-10-15-5-10-10-10-10,True,37.832979
graded,0.0065,0,10-10-10-10-10-10-10-10,False,-95.259945
graded,0.0065,1,10-10-10-10-10-10-11-9,False,-88.992137
graded,0.0065,2,10-10-10-10-10-10-12-8,False,-82.782905
graded,0.0065,3,10-10-10-10-10-10-13-7,False,-76.631429
graded,0.0065,4,10-10-10-10-10-10-14-6,False,-70.536905
graded,0.0065,5,10-10-10-10-10-10-15-5,True,218.452683
graded,0.0065,6,10-10-10-10-10-11-14-5,True,221.858289
graded,0.0065,7,10-10-10-10-10-12-13-5,True,225.241269
graded,0.0065,8,10-10-10-10-10-13-12-5,True,228.601849
graded,0.0065,9,10-10-10-10-10-14-11-5,True,231.940251
graded,0.0065,10,10-10-10-10-10-15-10-5,True,235.256693
