seed,scenario,reference_lambda,search_partition,search_iterations,search_partition_probes,uniform_partition,uniform_safe_lambda,compute_balanced_partition,compute_balanced_safe_lambda,search_safe_lambda,search_improves_uniform,search_matches_or_beats_balanced,search_headroom_at_reference_mb_s,uniform_headroom_at_reference_mb_s,relative_capacity_gain_pct
0,single_slow_stage,0.0065,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,0.006,11-11-11-6-11-10-10-10,0.0065,0.0075,True,True,277.590286,-84.92078,25.0
0,graded,0.0065,10-10-14-14-15-7-5-5,40,386,10-10-10-10-10-10-10-10,0.006,14-13-12-11-9-8-7-6,0.008,0.008,True,True,285.188726,-120.301942,33.333333
0,shuffled_severe,0.0065,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,0.006,6-14-8-12-7-11-9-13,0.008,0.008,True,True,337.616433,-136.725668,33.333333
1,single_slow_stage,0.008,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,0.0075,11-11-11-6-11-10-10-10,0.0095,0.0095,True,True,286.042097,-74.17376,26.666667
1,graded,0.008,10-10-14-14-15-7-5-5,40,378,10-10-10-10-10-10-10-10,0.0075,14-13-12-11-9-8-7-6,0.0095,0.0095,True,True,293.461709,-114.016151,26.666667
1,shuffled_severe,0.0075,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,0.007,6-14-8-12-7-11-9-13,0.0095,0.01,True,True,344.481462,-130.635496,42.857143
2,single_slow_stage,0.0065,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,0.006,11-11-11-6-11-10-10-10,0.008,0.008,True,True,278.09136,-72.466736,33.333333
2,graded,0.0065,10-10-14-14-15-7-5-5,40,378,10-10-10-10-10-10-10-10,0.006,14-13-12-11-9-8-7-6,0.008,0.008,True,True,285.683457,-111.86356,33.333333
2,shuffled_severe,0.0065,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,0.006,6-14-8-12-7-11-9-13,0.008,0.0085,True,True,338.069047,-128.055999,41.666667
3,single_slow_stage,0.006,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,,11-11-11-6-11-10-10-10,0.0065,0.0065,True,True,31.42562,-64.50423,
3,graded,0.006,10-10-14-14-15-7-5-5,40,378,10-10-10-10-10-10-10-10,,14-13-12-11-9-8-7-6,0.0065,0.0065,True,True,41.036629,-103.446323,
3,shuffled_severe,0.006,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,,6-14-8-12-7-11-9-13,0.0065,0.007,True,True,112.459431,-119.381975,
7,single_slow_stage,0.007,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,0.0065,11-11-11-6-11-10-10-10,0.0085,0.0085,True,True,37.832979,-56.623147,30.769231
7,graded,0.0065,10-10-14-14-15-7-5-5,40,378,10-10-10-10-10-10-10-10,0.006,14-13-12-11-9-8-7-6,0.0085,0.0085,True,True,303.255249,-95.259945,41.666667
7,shuffled_severe,0.0065,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,0.006,6-14-8-12-7-11-9-13,0.0085,0.009,True,True,353.089521,-110.936465,50.0
19,single_slow_stage,0.0065,10-10-15-5-10-10-10-10,5,77,10-10-10-10-10-10-10-10,0.006,11-11-11-6-11-10-10-10,0.008,0.008,True,True,281.761755,-69.761961,33.333333
19,graded,0.0065,11-9-10-10-15-14-6-5,20,237,10-10-10-10-10-10-10-10,0.006,14-13-12-11-9-8-7-6,0.008,0.0065,True,False,246.323261,-113.769637,8.333333
19,shuffled_severe,0.0065,5-15-10-15-5-10-5-15,15,166,10-10-10-10-10-10-10-10,0.006,6-14-8-12-7-11-9-13,0.008,0.0085,True,True,341.148172,-130.009717,41.666667
