seed,regime,shift,partition,safe_lambda,unsafe_lambda,sampled_monotonic,first_violation
0,decode_constrained,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network
0,decode_constrained,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network
0,decode_constrained,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network
0,decode_constrained,1,11-9-11-9-11-9-11-9,0.0011,0.00115,True,network
0,decode_constrained,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network
0,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0071,0.0072,True,network
0,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.0069,0.007,True,network
0,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0082,0.0083,True,network
0,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0082,0.0083,True,network
0,prefill_constrained,2,12-8-12-8-12-8-12-8,0.0086,0.0087,True,network
1,decode_constrained,-2,8-12-8-12-8-12-8-12,0.0018,0.00185,True,network
1,decode_constrained,-1,9-11-9-11-9-11-9-11,0.00175,0.0018,True,network
1,decode_constrained,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network
1,decode_constrained,1,11-9-11-9-11-9-11-9,0.0011,0.00115,True,network
1,decode_constrained,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network
1,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0082,0.0083,True,network
1,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.008,0.0081,True,network
1,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0095,0.0096,True,network
1,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0105,0.0106,True,network
1,prefill_constrained,2,12-8-12-8-12-8-12-8,0.012,,True,
2,decode_constrained,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network
2,decode_constrained,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network
2,decode_constrained,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network
2,decode_constrained,1,11-9-11-9-11-9-11-9,0.0011,0.00115,True,network
2,decode_constrained,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network
2,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0064,0.0065,True,network
2,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.0061,0.0062,True,network
2,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0068,0.0069,True,network
2,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0075,0.0076,True,network
2,prefill_constrained,2,12-8-12-8-12-8-12-8,0.0077,0.0078,True,network
3,decode_constrained,-2,8-12-8-12-8-12-8-12,0.0017,0.00175,True,network
3,decode_constrained,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network
3,decode_constrained,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network
3,decode_constrained,1,11-9-11-9-11-9-11-9,0.00105,0.0011,True,network
3,decode_constrained,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network
3,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0076,0.0077,True,network
3,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.0074,0.0075,True,network
3,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0076,0.0077,True,network
3,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0084,0.0085,True,network
3,prefill_constrained,2,12-8-12-8-12-8-12-8,0.009,0.0091,True,network
7,decode_constrained,-2,8-12-8-12-8-12-8-12,0.00235,0.0024,True,network
7,decode_constrained,-1,9-11-9-11-9-11-9-11,0.0023,0.00235,True,network
7,decode_constrained,0,10-10-10-10-10-10-10-10,0.00165,0.0017,True,network
7,decode_constrained,1,11-9-11-9-11-9-11-9,0.00115,0.0012,True,network
7,decode_constrained,2,12-8-12-8-12-8-12-8,0.0011,0.00115,True,network
7,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0079,0.008,True,network
7,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.0077,0.0078,True,network
7,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0079,0.008,True,network
7,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0084,0.0085,True,network
7,prefill_constrained,2,12-8-12-8-12-8-12-8,0.0092,0.0093,True,network
19,decode_constrained,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network
19,decode_constrained,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network
19,decode_constrained,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network
19,decode_constrained,1,11-9-11-9-11-9-11-9,0.0011,0.00115,True,network
19,decode_constrained,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network
19,prefill_constrained,-2,8-12-8-12-8-12-8-12,0.0085,0.0086,True,network
19,prefill_constrained,-1,9-11-9-11-9-11-9-11,0.0083,0.0084,True,network
19,prefill_constrained,0,10-10-10-10-10-10-10-10,0.0084,0.0085,True,network
19,prefill_constrained,1,11-9-11-9-11-9-11-9,0.0098,0.0099,True,network
19,prefill_constrained,2,12-8-12-8-12-8-12-8,0.0099,0.01,True,network
