alpha,ttft_s,tpot_s,shift,partition,safe_lambda,unsafe_lambda,right_censored,sampled_monotonic,first_violation,peak_decode_at_first_unsafe
0.0,0.28,1.0,-2,8-12-8-12-8-12-8-12,0.0079,0.008,False,True,network,10
0.0,0.28,1.0,-1,9-11-9-11-9-11-9-11,0.0077,0.0078,False,True,network,10
0.0,0.28,1.0,0,10-10-10-10-10-10-10-10,0.0079,0.008,False,True,network,11
0.0,0.28,1.0,1,11-9-11-9-11-9-11-9,0.0084,0.0085,False,True,network,11
0.0,0.28,1.0,2,12-8-12-8-12-8-12-8,0.0092,0.0093,False,True,network,12
0.125,0.313725,0.666667,-2,8-12-8-12-8-12-8-12,0.02,,True,True,,
0.125,0.313725,0.666667,-1,9-11-9-11-9-11-9-11,0.02,,True,True,,
0.125,0.313725,0.666667,0,10-10-10-10-10-10-10-10,0.02,,True,True,,
0.125,0.313725,0.666667,1,11-9-11-9-11-9-11-9,0.02,,True,True,,
0.125,0.313725,0.666667,2,12-8-12-8-12-8-12-8,0.02,,True,True,,
0.25,0.356688,0.5,-2,8-12-8-12-8-12-8-12,0.02,,True,True,,
0.25,0.356688,0.5,-1,9-11-9-11-9-11-9-11,0.02,,True,True,,
0.25,0.356688,0.5,0,10-10-10-10-10-10-10-10,0.02,,True,True,,
0.25,0.356688,0.5,1,11-9-11-9-11-9-11-9,0.02,,True,True,,
0.25,0.356688,0.5,2,12-8-12-8-12-8-12-8,0.02,,True,True,,
0.375,0.413284,0.4,-2,8-12-8-12-8-12-8-12,0.02,,True,True,,
0.375,0.413284,0.4,-1,9-11-9-11-9-11-9-11,0.0199,0.02,False,True,network,17
0.375,0.413284,0.4,0,10-10-10-10-10-10-10-10,0.0181,0.0182,False,True,network,16
0.375,0.413284,0.4,1,11-9-11-9-11-9-11-9,0.0177,0.0178,False,True,network,16
0.375,0.413284,0.4,2,12-8-12-8-12-8-12-8,0.0174,0.0175,False,True,network,16
0.5,0.491228,0.333333,-2,8-12-8-12-8-12-8-12,0.0114,0.0115,False,True,network,13
0.5,0.491228,0.333333,-1,9-11-9-11-9-11-9-11,0.0098,0.0099,False,True,network,12
0.5,0.491228,0.333333,0,10-10-10-10-10-10-10-10,0.0096,0.0097,False,True,network,12
0.5,0.491228,0.333333,1,11-9-11-9-11-9-11-9,0.0094,0.0095,False,True,network,12
0.5,0.491228,0.333333,2,12-8-12-8-12-8-12-8,0.0082,0.0083,False,True,network,11
0.625,0.605405,0.285714,-2,8-12-8-12-8-12-8-12,0.0065,0.0066,False,True,network,9
0.625,0.605405,0.285714,-1,9-11-9-11-9-11-9-11,0.0063,0.0064,False,True,network,9
0.625,0.605405,0.285714,0,10-10-10-10-10-10-10-10,0.0062,0.0063,False,True,network,9
0.625,0.605405,0.285714,1,11-9-11-9-11-9-11-9,0.0056,0.0057,False,True,network,8
0.625,0.605405,0.285714,2,12-8-12-8-12-8-12-8,0.0055,0.0056,False,True,network,8
0.75,0.788732,0.25,-2,8-12-8-12-8-12-8-12,0.0055,0.0056,False,True,network,7
0.75,0.788732,0.25,-1,9-11-9-11-9-11-9-11,0.0043,0.0044,False,True,network,6
0.75,0.788732,0.25,0,10-10-10-10-10-10-10-10,0.0042,0.0043,False,True,network,6
0.75,0.788732,0.25,1,11-9-11-9-11-9-11-9,0.0041,0.0042,False,True,network,6
0.75,0.788732,0.25,2,12-8-12-8-12-8-12-8,0.004,0.0041,False,True,network,6
0.875,1.131313,0.222222,-2,8-12-8-12-8-12-8-12,0.0034,0.0035,False,True,network,5
0.875,1.131313,0.222222,-1,9-11-9-11-9-11-9-11,0.0028,0.0029,False,True,network,4
0.875,1.131313,0.222222,0,10-10-10-10-10-10-10-10,0.0028,0.0029,False,True,network,4
0.875,1.131313,0.222222,1,11-9-11-9-11-9-11-9,0.0027,0.0028,False,True,network,4
0.875,1.131313,0.222222,2,12-8-12-8-12-8-12-8,0.0027,0.0028,False,True,network,4
1.0,2.0,0.2,-2,8-12-8-12-8-12-8-12,0.0023,0.0024,False,True,network,3
1.0,2.0,0.2,-1,9-11-9-11-9-11-9-11,0.0023,0.0024,False,True,network,3
1.0,2.0,0.2,0,10-10-10-10-10-10-10-10,0.0016,0.0017,False,True,network,3
1.0,2.0,0.2,1,11-9-11-9-11-9-11-9,0.0011,0.0012,False,True,network,2
1.0,2.0,0.2,2,12-8-12-8-12-8-12-8,0.0011,0.0012,False,True,network,2
