alpha,ttft_s,tpot_s,shift,partition,safe_lambda,unsafe_lambda,right_censored,sampled_monotonic,first_violation,peak_decode_at_first_unsafe,evaluations
0.0,0.28,1.0,-2,8-12-8-12-8-12-8-12,0.0079,0.00795,False,True,network,10,25
0.0,0.28,1.0,-1,9-11-9-11-9-11-9-11,0.0077,0.00775,False,True,network,10,21
0.0,0.28,1.0,0,10-10-10-10-10-10-10-10,0.00795,0.008,False,True,network,11,25
0.0,0.28,1.0,1,11-9-11-9-11-9-11-9,0.0084,0.00845,False,True,network,11,26
0.0,0.28,1.0,2,12-8-12-8-12-8-12-8,0.0092,0.00925,False,True,network,12,24
0.025,0.286152,0.909091,-2,8-12-8-12-8-12-8-12,0.0114,0.01145,False,True,network,13,32
0.025,0.286152,0.909091,-1,9-11-9-11-9-11-9-11,0.0111,0.01115,False,True,network,13,26
0.025,0.286152,0.909091,0,10-10-10-10-10-10-10-10,0.0156,0.01565,False,True,network,14,35
0.025,0.286152,0.909091,1,11-9-11-9-11-9-11-9,0.01645,0.0165,False,True,network,15,42
0.025,0.286152,0.909091,2,12-8-12-8-12-8-12-8,0.0161,0.01615,False,True,network,15,36
0.05,0.292581,0.833333,-2,8-12-8-12-8-12-8-12,0.019,0.01905,False,True,network,16,40
0.05,0.292581,0.833333,-1,9-11-9-11-9-11-9-11,0.02025,0.0203,False,True,network,17,47
0.05,0.292581,0.833333,0,10-10-10-10-10-10-10-10,0.0228,0.02285,False,True,network,18,53
0.05,0.292581,0.833333,1,11-9-11-9-11-9-11-9,0.0223,0.02235,False,True,network,18,52
0.05,0.292581,0.833333,2,12-8-12-8-12-8-12-8,0.0249,0.02495,False,True,network,19,59
0.075,0.299305,0.769231,-2,8-12-8-12-8-12-8-12,0.03025,0.0303,False,True,network,20,67
0.075,0.299305,0.769231,-1,9-11-9-11-9-11-9-11,0.02955,0.0296,False,True,network,20,62
0.075,0.299305,0.769231,0,10-10-10-10-10-10-10-10,0.0308,0.03085,False,True,network,21,69
0.075,0.299305,0.769231,1,11-9-11-9-11-9-11-9,0.0301,0.03015,False,True,network,21,64
0.075,0.299305,0.769231,2,12-8-12-8-12-8-12-8,0.0306,0.03065,False,True,network,22,65
0.1,0.306346,0.714286,-2,8-12-8-12-8-12-8-12,0.03345,0.0335,False,True,network,22,76
0.1,0.306346,0.714286,-1,9-11-9-11-9-11-9-11,0.05,,True,True,,,100
0.1,0.306346,0.714286,0,10-10-10-10-10-10-10-10,0.05,,True,True,,,100
0.1,0.306346,0.714286,1,11-9-11-9-11-9-11-9,0.05,,True,True,,,100
0.1,0.306346,0.714286,2,12-8-12-8-12-8-12-8,0.05,,True,True,,,100
0.125,0.313725,0.666667,-2,8-12-8-12-8-12-8-12,0.05,,True,True,,,100
0.125,0.313725,0.666667,-1,9-11-9-11-9-11-9-11,0.05,,True,True,,,100
0.125,0.313725,0.666667,0,10-10-10-10-10-10-10-10,0.05,,True,True,,,100
0.125,0.313725,0.666667,1,11-9-11-9-11-9-11-9,0.05,,True,True,,,100
0.125,0.313725,0.666667,2,12-8-12-8-12-8-12-8,0.05,,True,True,,,100
0.15,0.32147,0.625,-2,8-12-8-12-8-12-8-12,0.05,,True,True,,,100
0.15,0.32147,0.625,-1,9-11-9-11-9-11-9-11,0.05,,True,True,,,100
0.15,0.32147,0.625,0,10-10-10-10-10-10-10-10,0.05,,True,True,,,100
0.15,0.32147,0.625,1,11-9-11-9-11-9-11-9,0.05,,True,True,,,100
0.15,0.32147,0.625,2,12-8-12-8-12-8-12-8,0.05,,True,True,,,100
0.175,0.329606,0.588235,-2,8-12-8-12-8-12-8-12,0.05,,True,True,,,100
0.175,0.329606,0.588235,-1,9-11-9-11-9-11-9-11,0.05,,True,True,,,100
0.175,0.329606,0.588235,0,10-10-10-10-10-10-10-10,0.05,,True,True,,,100
0.175,0.329606,0.588235,1,11-9-11-9-11-9-11-9,0.05,,True,True,,,100
0.175,0.329606,0.588235,2,12-8-12-8-12-8-12-8,0.05,,True,True,,,100
0.2,0.338164,0.555556,-2,8-12-8-12-8-12-8-12,0.05,,True,True,,,100
0.2,0.338164,0.555556,-1,9-11-9-11-9-11-9-11,0.05,,True,True,,,100
0.2,0.338164,0.555556,0,10-10-10-10-10-10-10-10,0.05,,True,True,,,100
